"ID","Type","Usage / recording context","Exact spoken text","Suggested audio filename"
"N001","Main narration","Step 1 - 01 · Point / point","Look! A point.","N001.wav"
"N002","Main narration","Step 2 - 01 · Shape / draw","Woah! It drew a shape.","N002.wav"
"N003","Main narration","Step 3 - 01 · Closer / closer","Let's look at this shape closely.","N003.wav"
"N004","Main narration","Step 4 - 01 · Boundary / trace","There are no gaps in its boundary.","N004.wav"
"N005","Main narration","Step 5 - 01 · Open or closed / ask","Is it open or closed?","N005.wav"
"N006","Main narration","Step 6 - 02 · Open or closed","Is this shape open or closed?","N006.wav"
"N007","Main narration","Step 7 - 03 · Open or closed","What about this one?","N007.wav"
"N008","Main narration","Step 8 - 04 · Open or closed","And this?","N008.wav"
"N009","Main narration","Step 9 - 05 · Open or closed","How about this one?","N009.wav"
"N010","Main narration","Step 10 - 06 · Open figures / open","These two shapes are open...","N010.wav"
"N011","Main narration","Step 11 - 06 · Closed figures / closed","...and these two shapes are closed.","N011.wav"
"N012","Main narration","Step 12 - 06 · Boundaries / bound","Look! The boundaries of the shapes are different too.","N012.wav"
"N013","Main narration","Step 13 - 06 · Straight or curved / sc","Some are straight and some are curved.","N013.wav"
"N014","Main narration","Step 14 - 06 · Classify / classify","Which boundaries are straight and which are curved?","N014.wav"
"N015","Main narration","Step 15 - 06 · Well done / done","You got it! These boundaries are straight, while these are curved.","N015.wav"
"N016","Main narration","Step 16 - 07 ? Find straight-line shapes","Select all the shapes made using only straight lines.","N016.wav"
"N017","Main narration","Step 17 - 08 · Polygon","We call this a polygon.","N017.wav"
"N018","Main narration","Step 18 - 09 · Definition","A closed figure made of only straight line segments is called a polygon.","N018.wav"
"N019","Main narration","Step 19 - 10 · Which are polygons","Which of these figures are polygons?","N019.wav"
"N020","Main narration","Step 20 - 11 · Sides / sides","These line segments are the sides of the polygon.","N020.wav"
"N021","Main narration","Step 21 - 11 · Vertex / vertex","The point where two sides meet is called a vertex.","N021.wav"
"N022","Main narration","Step 22 - 11 · Angle / angle","When two sides meet, they also form an angle.","N022.wav"
"N023","Main narration","Step 23 - 12 · Label the parts","Label the parts of the polygon.","N023.wav"
"N024","Main narration","Step 24 - 13 · How many sides","How many sides does this polygon have?","N024.wav"
"N025","Main narration","Step 25 - 13 · Five sides / five","This polygon has 5 sides.","N025.wav"
"N026","Main narration","Step 26 - 14 · Change it / intro","Now let's change how it looks.","N026.wav"
"N027","Main narration","Step 27 - 14 · Drag a vertex / drag","Drag any vertex. Stretch it, squash it, or resize it.","N027.wav"
"N028","Main narration","Step 28 - 14 · Changed / wow","Whoa! It looks quite different now.","N028.wav"
"N029","Main narration","Step 29 - 15 · Before and after / a","Its appearance has completely changed.","N029.wav"
"N030","Main narration","Step 30 - 15 · Not everything / b","But not everything has changed.","N030.wav"
"N031","Main narration","Step 31 - 16 · Count again / ask","Let's count the sides again.","N031.wav"
"N032","Main narration","Step 32 - 16 · Still five / both","Both polygons still have 5 sides.","N032.wav"
"N033","Main narration","Step 33 - 16 · Naming / name","So the number of sides gives us a good way to name polygons.","N033.wav"
"N034","Main narration","Step 34 - 17 · Triangle / tri","A polygon with 3 sides is called a triangle.","N034.wav"
"N035","Main narration","Step 35 - 17 · Quadrilateral / quad","A polygon with 4 sides is called a quadrilateral.","N035.wav"
"N036","Main narration","Step 36 - 18 · Quadrilaterals","Select all the quadrilaterals.","N036.wav"
"N037","Main narration","Step 37 - 19 · Pentagon","A polygon with 5 sides is called a pentagon.","N037.wav"
"N038","Main narration","Step 38 - 20 · Hexagon","A polygon with 6 sides is called a hexagon.","N038.wav"
"N039","Main narration","Step 39 - 21 · Heptagon","A polygon with 7 sides is called a heptagon.","N039.wav"
"N040","Main narration","Step 40 - 22 · Octagon","A polygon with 8 sides is called an octagon.","N040.wav"
"N041","Main narration","Step 41 - 23 · Recall","Let's recall the different types of polygons we learnt about.","N041.wav"
"N042","Main narration","Step 42 - CFU 1","Which of these is a polygon?","N042.wav"
"N043","Main narration","Step 43 - CFU 2","Classify the figures as a polygon or not a polygon.","N043.wav"
"N044","Main narration","Step 44 - CFU 3","Find the odd one out. Which figure is NOT a polygon?","N044.wav"
"N045","Main narration","Step 45 - CFU 4","Which of these is a pentagon?","N045.wav"
